Aug 2026 Prices - 16 June 2026

Strike	Type	Open	High	Low	Last	Change	Settle	Volume	Open Interest
36000	C	0.00	0.00	0.00	0.00	N/A	16392.00	0	0
36000	P	0.00	0.00	0.00	0.00	N/A	26.00	1	38
36500	C	0.00	0.00	0.00	0.00	N/A	15897.00	0	0
36500	P	0.00	0.00	0.00	0.00	N/A	28.00	0	5
37000	C	0.00	0.00	0.00	0.00	N/A	15401.00	0	0
37000	P	0.00	0.00	0.00	0.00	N/A	30.00	0	16
37500	C	0.00	0.00	0.00	0.00	N/A	14906.00	0	0
37500	P	0.00	0.00	0.00	0.00	N/A	33.00	0	3
38000	C	0.00	0.00	0.00	0.00	N/A	14413.00	0	0
38000	P	0.00	0.00	0.00	0.00	N/A	37.00	0	1
38500	C	0.00	0.00	0.00	0.00	N/A	13918.00	0	0
38500	P	0.00	0.00	0.00	0.00	N/A	40.00	0	1
39000	C	0.00	0.00	0.00	0.00	N/A	13423.00	0	0
39000	P	0.00	0.00	0.00	0.00	N/A	43.00	0	25
39500	C	0.00	0.00	0.00	0.00	N/A	12931.00	0	0
39500	P	0.00	0.00	0.00	0.00	N/A	48.00	0	4
40000	C	0.00	0.00	0.00	0.00	N/A	12438.00	0	0
40000	P	0.00	0.00	0.00	0.00	N/A	53.00	0	2
40500	C	0.00	0.00	0.00	0.00	N/A	11946.00	0	0
40500	P	0.00	0.00	0.00	0.00	N/A	58.00	0	91
41000	C	0.00	0.00	0.00	0.00	N/A	11455.00	0	0
41000	P	0.00	0.00	0.00	0.00	N/A	64.00	0	10
41500	C	0.00	0.00	0.00	0.00	N/A	10964.00	0	0
41500	P	0.00	0.00	0.00	0.00	N/A	71.00	0	7
42000	C	0.00	0.00	0.00	0.00	N/A	10473.00	0	0
42000	P	0.00	0.00	0.00	0.00	N/A	78.00	0	1174
42500	C	0.00	0.00	0.00	0.00	N/A	9985.00	0	0
42500	P	0.00	0.00	0.00	0.00	N/A	88.00	0	3
43000	C	0.00	0.00	0.00	0.00	N/A	9498.00	0	1
43000	P	0.00	0.00	0.00	0.00	N/A	98.00	0	41
43500	C	0.00	0.00	0.00	0.00	N/A	9011.00	0	0
43500	P	0.00	0.00	0.00	0.00	N/A	109.00	1	1
44000	C	0.00	0.00	0.00	0.00	N/A	8526.00	0	0
44000	P	0.00	0.00	0.00	0.00	N/A	122.00	0	13
44500	C	0.00	0.00	0.00	0.00	N/A	8044.00	0	0
44500	P	0.00	0.00	0.00	0.00	N/A	137.00	0	454
45000	C	0.00	0.00	0.00	0.00	N/A	7562.00	0	0
45000	P	0.00	0.00	0.00	0.00	N/A	153.00	204	256
45500	C	0.00	0.00	0.00	0.00	N/A	7086.00	0	0
45500	P	0.00	0.00	0.00	0.00	N/A	175.00	0	14
46000	C	0.00	0.00	0.00	0.00	N/A	6612.00	0	0
46000	P	0.00	0.00	0.00	0.00	N/A	198.00	1	15
46500	C	0.00	0.00	0.00	0.00	N/A	6144.00	0	0
46500	P	0.00	0.00	0.00	0.00	N/A	228.00	0	275
47000	C	0.00	0.00	0.00	0.00	N/A	5680.00	0	0
47000	P	0.00	0.00	0.00	0.00	N/A	261.00	4	113
47500	C	0.00	0.00	0.00	0.00	N/A	5223.00	0	0
47500	P	0.00	0.00	0.00	0.00	N/A	302.00	0	26
48000	C	0.00	0.00	0.00	0.00	N/A	4774.00	0	0
48000	P	0.00	0.00	0.00	0.00	N/A	350.00	1	50
48500	C	0.00	0.00	0.00	0.00	N/A	4333.00	0	0
48500	P	0.00	0.00	0.00	0.00	N/A	407.00	0	27
48600	C	0.00	0.00	0.00	0.00	N/A	0.00	0	-
48600	P	0.00	0.00	0.00	0.00	N/A	0.00	0	-
48700	C	0.00	0.00	0.00	0.00	N/A	0.00	0	-
48700	P	0.00	0.00	0.00	0.00	N/A	0.00	0	-
48800	C	0.00	0.00	0.00	0.00	N/A	0.00	0	-
48800	P	0.00	0.00	0.00	0.00	N/A	0.00	0	-
48900	C	0.00	0.00	0.00	0.00	N/A	0.00	0	-
48900	P	0.00	0.00	0.00	0.00	N/A	0.00	0	-
49000	C	0.00	0.00	0.00	0.00	N/A	3903.00	0	1
49000	P	0.00	0.00	0.00	0.00	N/A	474.00	3	24
49100	C	0.00	0.00	0.00	0.00	N/A	0.00	0	-
49100	P	0.00	0.00	0.00	0.00	N/A	0.00	0	-
49200	C	0.00	0.00	0.00	0.00	N/A	0.00	0	-
49200	P	0.00	0.00	0.00	0.00	N/A	0.00	0	-
49300	C	0.00	0.00	0.00	0.00	N/A	0.00	0	-
49300	P	0.00	0.00	0.00	0.00	N/A	0.00	0	-
49400	C	0.00	0.00	0.00	0.00	N/A	0.00	0	-
49400	P	0.00	0.00	0.00	0.00	N/A	0.00	0	-
49500	C	0.00	0.00	0.00	0.00	N/A	3481.00	0	0
49500	P	0.00	0.00	0.00	0.00	N/A	550.00	8	40
49600	C	0.00	0.00	0.00	0.00	N/A	0.00	0	-
49600	P	0.00	0.00	0.00	0.00	N/A	0.00	0	-
49700	C	0.00	0.00	0.00	0.00	N/A	0.00	0	-
49700	P	0.00	0.00	0.00	0.00	N/A	0.00	0	-
49800	C	0.00	0.00	0.00	0.00	N/A	0.00	0	-
49800	P	0.00	0.00	0.00	0.00	N/A	0.00	0	-
49900	C	0.00	0.00	0.00	0.00	N/A	0.00	0	-
49900	P	0.00	0.00	0.00	0.00	N/A	0.00	0	-
50000	C	0.00	0.00	0.00	0.00	N/A	3079.00	2	1
50000	P	0.00	0.00	0.00	0.00	N/A	646.00	3	7
50100	C	0.00	0.00	0.00	0.00	N/A	0.00	0	-
50100	P	0.00	0.00	0.00	0.00	N/A	0.00	0	-
50200	C	0.00	0.00	0.00	0.00	N/A	0.00	0	-
