Aug 2026 Prices - 11 June 2026

Strike	Type	Open	High	Low	Last	Change	Settle	Volume	Open Interest
36000	C	0.00	0.00	0.00	0.00	N/A	14440.00	0	0
36000	P	0.00	0.00	0.00	0.00	N/A	1.00	1	36
36500	C	0.00	0.00	0.00	0.00	N/A	13944.00	0	0
36500	P	0.00	0.00	0.00	0.00	N/A	2.00	0	4
37000	C	0.00	0.00	0.00	0.00	N/A	13447.00	0	0
37000	P	0.00	0.00	0.00	0.00	N/A	3.00	0	16
37500	C	0.00	0.00	0.00	0.00	N/A	12952.00	0	0
37500	P	0.00	0.00	0.00	0.00	N/A	5.00	0	3
38000	C	0.00	0.00	0.00	0.00	N/A	12457.00	0	0
38000	P	0.00	0.00	0.00	0.00	N/A	7.00	0	1
38500	C	0.00	0.00	0.00	0.00	N/A	11963.00	0	0
38500	P	0.00	0.00	0.00	0.00	N/A	11.00	0	1
39000	C	0.00	0.00	0.00	0.00	N/A	11470.00	0	0
39000	P	0.00	0.00	0.00	0.00	N/A	15.00	1	25
39500	C	0.00	0.00	0.00	0.00	N/A	10979.00	0	0
39500	P	0.00	0.00	0.00	0.00	N/A	22.00	0	4
40000	C	0.00	0.00	0.00	0.00	N/A	10490.00	0	0
40000	P	0.00	0.00	0.00	0.00	N/A	30.00	0	2
40500	C	0.00	0.00	0.00	0.00	N/A	10003.00	0	0
40500	P	0.00	0.00	0.00	0.00	N/A	41.00	0	91
41000	C	0.00	0.00	0.00	0.00	N/A	9520.00	0	0
41000	P	0.00	0.00	0.00	0.00	N/A	56.00	0	10
41500	C	0.00	0.00	0.00	0.00	N/A	9042.00	0	0
41500	P	0.00	0.00	0.00	0.00	N/A	74.00	0	7
42000	C	0.00	0.00	0.00	0.00	N/A	8568.00	0	0
42000	P	0.00	0.00	0.00	0.00	N/A	98.00	0	4
42500	C	0.00	0.00	0.00	0.00	N/A	8099.00	0	0
42500	P	0.00	0.00	0.00	0.00	N/A	127.00	0	3
43000	C	0.00	0.00	0.00	0.00	N/A	7638.00	0	1
