
 
Aug 2026 Prices - 17 July 2026
Strike	Type	Open	High	Low	Last	Change	Settle	Volume	Open Interest
49600 	P 	464.00 	464.00 	464.00 	464.00 	55.18 	400.00 	1 	2
49700 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	2611.00 	0 	0
49700 	P 	478.00 	478.00 	478.00 	478.00 	52.72 	417.00 	1 	5
49800 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	2529.00 	0 	0
49800 	P 	494.00 	494.00 	494.00 	494.00 	51.53 	435.00 	1 	1
49900 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	2448.00 	0 	0
49900 	P 	420.00 	462.00 	420.00 	462.00 	35.09 	453.00 	2 	2
50000 	C 	2360.00 	2370.00 	2360.00 	2370.00 	-13.60 	2369.00 	15 	17
50000 	P 	440.00 	555.00 	440.00 	510.00 	43.26 	474.00 	19 	430
50100 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	2290.00 	0 	0
50100 	P 	500.00 	500.00 	500.00 	500.00 	33.69 	495.00 	1 	2
50200 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	2212.00 	0 	0
50200 	P 	530.00 	530.00 	530.00 	530.00 	35.90 	516.00 	1 	1
50300 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	2133.00 	0 	0
50300 	P 	555.00 	555.00 	555.00 	555.00 	36.36 	537.00 	1 	2
50400 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	2057.00 	0 	0
50400 	P 	585.00 	585.00 	585.00 	585.00 	37.32 	561.00 	1 	7
50500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	1984.00 	0 	7
50500 	P 	585.00 	700.00 	580.00 	580.00 	30.34 	587.00 	6 	36
50600 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	1910.00 	0 	1
50600 	P 	620.00 	620.00 	565.00 	565.00 	21.24 	613.00 	2 	2
50700 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	1836.00 	0 	0
50700 	P 	605.00 	645.00 	605.00 	645.00 	32.99 	639.00 	2 	2
50800 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	1763.00 	0 	0
50800 	P 	680.00 	680.00 	680.00 	680.00 	33.60 	665.00 	1 	51
50900 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	1689.00 	0 	1
50900 	P 	740.00 	740.00 	695.00 	695.00 	31.13 	692.00 	2 	3
51000 	C 	1650.00 	1650.00 	1650.00 	1650.00 	-15.08 	1623.00 	1 	12
51000 	P 	660.00 	850.00 	660.00 	765.00 	38.09 	725.00 	38 	80
51100 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	1554.00 	0 	0
51100 	P 	770.00 	770.00 	770.00 	770.00 	33.22 	756.00 	1 	1
51200 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	1487.00 	0 	1
51200 	P 	780.00 	805.00 	730.00 	730.00 	20.26 	789.00 	7 	18
51300 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	1416.00 	0 	1
51300 	P 	780.00 	785.00 	780.00 	785.00 	24.01 	818.00 	2 	1
51400 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	1353.00 	0 	1
51400 	P 	910.00 	910.00 	910.00 	910.00 	37.67 	855.00 	1 	27
51500 	C 	1265.00 	1270.00 	1115.00 	1115.00 	-29.56 	1289.00 	5 	11
51500 	P 	865.00 	1000.00 	865.00 	900.00 	30.06 	890.00 	25 	103
51600 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	1227.00 	0 	1
51600 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	928.00 	0 	4
51700 	C 	1145.00 	1145.00 	1145.00 	1145.00 	-20.93 	1166.00 	4 	7
51700 	P 	990.00 	990.00 	920.00 	920.00 	21.53 	967.00 	6 	6
51800 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	1106.00 	0 	0
51800 	P 	945.00 	1060.00 	945.00 	1060.00 	34.18 	1007.00 	4 	10
51900 	C 	1090.00 	1130.00 	1055.00 	1060.00 	-19.39 	1048.00 	6 	6
51900 	P 	1000.00 	1090.00 	985.00 	1090.00 	32.44 	1048.00 	18 	18
52000 	C 	1000.00 	1090.00 	870.00 	980.00 	-21.66 	992.00 	9 	26
52000 	P 	1100.00 	1285.00 	1015.00 	1170.00 	36.20 	1092.00 	10 	128
52100 	C 	975.00 	975.00 	975.00 	975.00 	-18.00 	938.00 	2 	2
